"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-pl-pl-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","126","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CMA-ar-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","64","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-fr-fr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","123","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-it-it-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","130","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-ro-ro-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","52","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-it-it-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-it-it-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","121","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-hu-hu-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9669","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CMA-en-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","9586","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CMA-en-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","7503","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-el-gr-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","48","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-de-at-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","38","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-fr-fr-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7403","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-ASIC-en-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","124","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-de-at-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","170","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-hu-hu-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","42","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-ar-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","131","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-ru-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","40","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-de-at-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","63","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-en-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8016","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-ar-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","8138","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-zh-hant-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","66","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-zh-hant-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9581","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CMA-en-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","60","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-mn-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
