"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7669","cryptocurrencies page | tradingInstrument | sellBtn","chromium-SCB-ru-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7201","forex page | heroBanner | signupBtn","chromium-SCB-vi-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7075","cryptocurrencies page | tradingInstrument | alertBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6658","interestRates page | heroBanner | signupBtn","chromium-CySEC-nl-nl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7372","cryptocurrencies page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6779","shares page | heroBanner | signupBtn","chromium-FCA-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7321","markets page | tradingInstrument | sellBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7928","indices page | heroBanner | signupBtn","chromium-FCA-en-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6860","forex page | heroBanner | signupBtn","chromium-SCB-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7174","commodities page | tradingInstrument | alertBtn","chromium-CySEC-ro-ro-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","12188","markets page | tradingInstrument | tradedBtn","chromium-SCB-ru-unauthorised","2026-09-14","failed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7845","forex page | tradingInstrument | longPositionGoToPlatformBtn","chromium-SCB-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7128","forex page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-nl-nl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7617","shares page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-it-it-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8078","forex page | tradingInstrument | addToFavouriteBtn","chromium-SCB-es-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7485","forex page | tradingInstrument | sellBtn","chromium-SCB-zh-hant-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7151","indices page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-el-gr-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7174","indices page | tradingInstrument | readyToJoinSignUpBtn","chromium-CySEC-de-at-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7801","interestRates page | tradingInstrument | addToFavouriteBtn","chromium-SCB-de-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7067","bonds page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-ro-ro-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7381","shares page | tradingInstrument | alertBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8826","forex page | tradingInstrument | tradedBtn","chromium-ASIC-en-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7263","markets page | tradingInstrument | alertBtn","chromium-CySEC-de-de-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","3001","markets page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-zh-hans-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9665","indices page | tradingInstrument | tradedBtn","chromium-SCB-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7261","interestRates page | tradingInstrument | shortPositionGoToPlatformBtn","chromium-CySEC-it-it-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9160","commodities page | tradingInstrument | tradedBtn","chromium-SCB-vi-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9294","markets page | tradingInstrument | tradedBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7427","interestRates page | tradingInstrument | buyBtn","chromium-SCB-ru-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7582","markets page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-pl-pl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8248","cryptocurrencies page | tradingInstrument | viewDetailedChartBtn","chromium-CySEC-it-it-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6585","cryptocurrencies page | heroBanner | signupBtn","chromium-SCB-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7689","shares page | tradingInstrument | longPositionGoToPlatformBtn","chromium-SCB-mn-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7688","markets page | tradingInstrument | readyToJoinSignUpBtn","chromium-SCB-de-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7382","markets page | tradingInstrument | sellBtn","chromium-CySEC-pl-pl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9409","shares page | tradingInstrument | tradedBtn","chromium-CMA-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7842","markets page | tradingInstrument | addToFavouriteBtn","chromium-SCB-es-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7032","bonds page | tradingInstrument | alertBtn","chromium-CySEC-ro-ro-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6865","bonds page | tradingInstrument | addToFavouriteBtn","chromium-ASIC-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7145","commodities page | tradingInstrument | longPositionGoToPlatformBtn","chromium-ASIC-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7438","interestRates page | tradingInstrument | shortPositionGoToPlatformBtn","chromium-SCB-fr-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7660","commodities page | tradingInstrument | buyBtn","chromium-CMA-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7472","cryptocurrencies page | tradingInstrument | alertBtn","chromium-CySEC-el-gr-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7191","interestRates page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-mn-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7446","commodities page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-pl-pl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7409","commodities page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CySEC-ro-ro-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7220","bonds page | tradingInstrument | readyToJoinSignUpBtn","chromium-FCA-en-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9525","indices page | tradingInstrument | tradedBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7248","cryptocurrencies page | tradingInstrument | viewDetailedChartBtn","chromium-CySEC-de-de-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7638","indices page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7984","bonds page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-it-it-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7205","interestRates page | tradingInstrument | addToFavouriteBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7340","interestRates page | heroBanner | signupBtn","chromium-SCB-es-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7377","cryptocurrencies page | tradingInstrument | sellBtn","chromium-CySEC-hu-hu-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7146","indices page | tradingInstrument | alertBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7585","shares page | tradingInstrument | buyBtn","chromium-SCB-zh-hant-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7877","markets page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-es-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6563","marketAnalysis page | mostTradedMarketsBlock | tradedBtn","chromium-ASIC-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7147","commodities page | tradingInstrument | readyToJoinSignUpBtn","chromium-CySEC-de-at-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6829","markets page | tradingInstrument | addToFavouriteBtn","chromium-ASIC-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7260","indices page | tradingInstrument | readyToJoinSignUpBtn","chromium-SCB-zh-hant-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7098","bonds page | tradingInstrument | viewDetailedChartBtn","chromium-CySEC-ro-ro-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7333","commodities page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CySEC-pl-pl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7334","shares page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-fr-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9299","shares page | tradingInstrument | tradedBtn","chromium-CMA-en-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7494","shares page | tradingInstrument | addToFavouriteBtn","chromium-SCB-es-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8720","cryptocurrencies page | tradingInstrument | addToFavouriteBtn","chromium-SCB-de-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","4581","bonds page | tradingInstrument | shortPositionGoToPlatformBtn","chromium-SCB-zh-hans-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7599","cryptocurrencies page | tradingInstrument | sellBtn","chromium-SCB-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7720","markets page | tradingInstrument | readyToJoinSignUpBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7797","marketAnalysis page | mostTradedMarketsBlock | tradedBtn","chromium-CMA-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7091","commodities page | tradingInstrument | readyToJoinSignUpBtn","chromium-CySEC-nl-nl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7473","commodities page | tradingInstrument | longPositionGoToPlatformBtn","chromium-SCB-zh-hant-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7765","indices page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-de-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
